name,year,team,position
Bob Rogucki,1994,Arizona Cardinals,Strength And Conditioning
June Jones,1994,Atlanta Falcons,Head Coach
Mouse Davis,1994,Atlanta Falcons,Quarterbacks
Ollie Wilson,1994,Atlanta Falcons,Running Backs
Milt Jackson,1994,Atlanta Falcons,Assistant Head Coach/Wide Receivers
Bob Palcic,1994,Atlanta Falcons,Offensive Line
Bill Kollar,1994,Atlanta Falcons,Defensive Line
Joe Haering,1994,Atlanta Falcons,Linebackers
Keith Armstrong,1994,Atlanta Falcons,Outside Linebackers
Greg Brown,1994,Atlanta Falcons,Secondary
Tim Marcum,1994,Atlanta Falcons,Defensive Assistant
Frank Gansz,1994,Atlanta Falcons,Assistant Head Coach/Special Teams
Tim Jorgensen,1994,Atlanta Falcons,Strength And Conditioning
Tom Telesco,1994,Buffalo Bills,Summer Intern
Elijah Pitts,1994,Buffalo Bills,Assistant Head Coach/Running Backs Coach
Jim Shofner,1994,Buffalo Bills,Quarterbackskcoach S
Elijah Pitts,1994,Buffalo Bills,Assistant Head Coach/Running Backs Coach
Charlie Joiner,1994,Buffalo Bills,Receivers Coach
Don Lawrence,1994,Buffalo Bills,Offensive Quality Control/Tight Ends
Don Sekanovich,1994,Buffalo Bills,Defensive Line
Dick Roach,1994,Buffalo Bills,Defensive Backs
Walt Corey,1994,Buffalo Bills,Linebackers Coach
Chuck Lester,1994,Buffalo Bills,Assistant Linebackers Coach
Bruce DeHaven,1994,Buffalo Bills,Special Teams
Dave Wannstedt,1994,Chicago Bears,Head Coach
Joe Pendry,1994,Chicago Bears,Running Backs
Ivan Fears,1994,Chicago Bears,Wide Receivers
Mike Shula,1994,Chicago Bears,Tight Ends
Tony Wise,1994,Chicago Bears,Offensive Line
Clarence Brooks,1994,Chicago Bears,Defensive Line
Dave McGinnis,1994,Chicago Bears,Linebackers
Carlos Mainord,1994,Chicago Bears,Defensive Assistant
Danny Abramowicz,1994,Chicago Bears,Special Teams
Dave Shula,1994,Cincinnati Bengals,Head Coach
Ken Anderson,1994,Cincinnati Bengals,Quarterbacks
Jim Anderson,1994,Cincinnati Bengals,Running Backs
Richard Williamson,1994,Cincinnati Bengals,Wide Receivers
Paul Alexander,1994,Cincinnati Bengals,Tight Ends
Jim McNally,1994,Cincinnati Bengals,Offensive Line
Joe Wessel,1994,Cincinnati Bengals,Defensive Line
Joe Pascale,1994,Cincinnati Bengals,Linebackers
Ron Meeks,1994,Cincinnati Bengals,Defensive Backs
Bobby DePaul,1994,Cincinnati Bengals,Defensive Staff Assistant
Marv Braden,1994,Cincinnati Bengals,Special Teams
Kim Wood,1994,Cincinnati Bengals,Strength
Bill Belichick,1994,Cleveland Browns,Head Coach
Rod Dowhower,1994,Cleveland Browns,Quarterbacks
Mike Sheppard,1994,Cleveland Browns,Receivers
Kirk Ferentz,1994,Cleveland Browns,Offensive Line
Ernie Adams,1994,Cleveland Browns,Special Assignment
Kevin Spencer,1994,Cleveland Browns,Offensive Assistant
Jacob Burney,1994,Cleveland Browns,Defensive Line
Woody Widenhofer,1994,Cleveland Browns,Linebackers
Rick Venturi,1994,Cleveland Browns,Defensive Backfield
Scott O'Brien,1994,Cleveland Browns,Special Teams
Jerry Simmons,1994,Cleveland Browns,Strength And Conditioning
Wade Phillips,1994,Denver Broncos,Head Coach
Harold Richardson,1994,Denver Broncos,Assistant To The Head Coach/Offense
Bishop Harris,1994,Denver Broncos,Running Backs
Mo Forte,1994,Denver Broncos,Wide Receivers
Les Steckel,1994,Denver Broncos,Tight Ends
John Levra,1994,Denver Broncos,Offensive Line
Rex Norris,1994,Denver Broncos,Defensive Line
Barney Chavous,1994,Denver Broncos,Assistant Defensive Line/Strength Assistant
John Paul Young,1994,Denver Broncos,Linebackers
Leon Fuller,1994,Denver Broncos,Defensive Backs/Secondary
Alvin Reynolds,1994,Denver Broncos,Assistant Defensive Backs/Quality Control
Richard Smith,1994,Denver Broncos,Special Teams/Assistant Linebackers
Vernon Banks,1994,Denver Broncos,Strength And Conditioning
Barney Chavous,1994,Denver Broncos,Assistant Defensive Line/Strength Assistant
William Clay Ford Jr,1994,Detroit Lions,Treasurer
Wayne Fontes,1994,Detroit Lions,Head Coach
Dave Levy,1994,Detroit Lions,Assistant Head Coach/Offense
Tom Moore,1994,Detroit Lions,Quarterbacks
Billie Matthews,1994,Detroit Lions,Running Backs
Charlie Sanders,1994,Detroit Lions,Receivers
Dave Jaumotte,1994,Detroit Lions,Tight Ends/H-Backs
Paul Boudreau,1994,Detroit Lions,Offensive Line
Lamar Leachman,1994,Detroit Lions,Defensive Line
Howard Tippett,1994,Detroit Lions,Linebackers
Don Clemons,1994,Detroit Lions,Outside Linebackers
John Fontes,1994,Detroit Lions,Defensive Backs
Steve Kazor,1994,Detroit Lions,Special Teams
Bert Hill,1994,Detroit Lions,Strength And Conditioning/Defensive Assistant
Mike Holmgren,1994,Green Bay Packers,Head Coach
Steve Mariucci,1994,Green Bay Packers,Quarterbacks
Gil Haskell,1994,Green Bay Packers,Running Backs
Jon Gruden,1994,Green Bay Packers,Wide Receivers
Tom Lovat,1994,Green Bay Packers,Offensive Line
Andy Reid,1994,Green Bay Packers,Assistant Offensive Line/Tight Ends
Larry Brooks,1994,Green Bay Packers,Defensive Line
Bob Valesente,1994,Green Bay Packers,Linebackers
Dick Jauron,1994,Green Bay Packers,Defensive Backs/Secondary
Jim Lind,1994,Green Bay Packers,Defensive Assistant/Quality Control
Nolan Cromwell,1994,Green Bay Packers,Special Teams
Kent Johnston,1994,Green Bay Packers,Strength And Conditioning
Jack Pardee,1994,Houston Oilers,Head Coach
Kevin Gilbride,1994,Houston Oilers,Assistant Head Coach/Offense
Frank Novak,1994,Houston Oilers,Running Backs/Special Teams
Charlie Baggett,1994,Houston Oilers,Receivers
Bob Young,1994,Houston Oilers,Offensive Line
Jim Stanley,1994,Houston Oilers,Defensive Line
Gregg Williams,1994,Houston Oilers,Linebackers
Tom Bettis,1994,Houston Oilers,Defensive Backs
Frank Bush,1994,Houston Oilers,Quality Control
Frank Novak,1994,Houston Oilers,Running Backs/Special Teams
Steve Watterson,1994,Houston Oilers,Strength And Rehabilitation
Ted Marchibroda,1994,Indianapolis Colts,Head Coach
Gene Huey,1994,Indianapolis Colts,Running Backs
Jimmy Robinson,1994,Indianapolis Colts,Receivers
Hank Kuhlmann,1994,Indianapolis Colts,Tight Ends
Ron Blackledge,1994,Indianapolis Colts,Offensive Line
Greg Blache,1994,Indianapolis Colts,Defensive Line
Jim Johnson,1994,Indianapolis Colts,Linebackers
Pat Thomas,1994,Indianapolis Colts,Secondary
Fred Bruney,1994,Indianapolis Colts,Defensive Assistant
Tom Batta,1994,Indianapolis Colts,Special Teams
Tom Zupancic,1994,Indianapolis Colts,Strength And Conditioning
Marty Schottenheimer,1994,Kansas City Chiefs,Head Coach
Al Saunders,1994,Kansas City Chiefs,Assistant Head Coach/Wide Receivers
Jimmy Raye,1994,Kansas City Chiefs,Running Backs
Kurt Schottenheimer,1994,Kansas City Chiefs,Tight Ends/Special Teams
Alex Gibbs,1994,Kansas City Chiefs,Offensive Line
Mike McCarthy,1994,Kansas City Chiefs,Offensive Assistant/Quality Control
Tom Pratt,1994,Kansas City Chiefs,Defensive Line
Herman Edwards,1994,Kansas City Chiefs,Defensive Backs
