name,team,year,position_w
John Idzik,Miami Dolphins,1969,Offensive Backs
Ernie Hefferle,Miami Dolphins,1969,Offensive Line
Les Bingaman,Miami Dolphins,1969,Defensive Line
Tom Keane,Miami Dolphins,1969,Defensive Backs
Don Heinrich,New Orleans Saints,1969,Offensive Backfield
Billy Ray Barnes,New Orleans Saints,1969,Receivers
Brad Ecklund,New Orleans Saints,1969,Offensive Line
Jerry Smith,New Orleans Saints,1969,Linebackers
Walt Yowarsky,Atlanta Falcons,1970,Offensive Backfield
Duane Putnam,Atlanta Falcons,1970,Offensive Line
Marion Campbell,Atlanta Falcons,1970,Head Defensive
Bob Griffin,Atlanta Falcons,1970,Defensive Line
Dick Bielski,Baltimore Colts,1970,Receivers/Offensive Ends
Bobby Boyd,Baltimore Colts,1970,Defensive Backfield
Jerry Stoltz,Boston Patriots,1970,Receivers
Bruce Beatty,Boston Patriots,1970,Offensive Line
Jesse Richardson,Boston Patriots,1970,Defensive Line
John Meyer,Boston Patriots,1970,Linebackers
Bill Elias,Boston Patriots,1970,Defensive Backfield
Jack Donaldson,Cincinnati Bengals,1970,Offensive Backfield
Chuck Studley,Cincinnati Bengals,1970,Defensive Line
Vince Costello,Cincinnati Bengals,1970,Linebackers
Fritz Heisler,Cleveland Browns,1970,Offensive Line
Howard Keys,Cleveland Browns,1970,Offensive Backs
Bob Nussbaumer,Cleveland Browns,1970,Wide Receivers
Dick Modzelewski,Cleveland Browns,1970,Defensive Line
Ed Ulinski,Cleveland Browns,1970,Linebackers
Leo Murphy,Cleveland Browns,1970,Trainer
Hunter Enis,Denver Broncos,1970,Offensive Backs
Whitey Dovell,Denver Broncos,1970,Offensive Line
Stan Jones,Denver Broncos,1970,Defensive Line
Dick MacPherson,Denver Broncos,1970,Linebackers
Howard Schnellenberger,Miami Dolphins,1970,Offense/Receivers
Carl Taseff,Miami Dolphins,1970,Offensive Backs
Bill Arnsparger,Miami Dolphins,1970,Defense/Linebackers
Mike Scarry,Miami Dolphins,1970,Defensive Line
Tom Keane,Miami Dolphins,1970,Defensive Backs
Don Heinrich,New Orleans Saints,1970,Offensive Backfield
Billy Ray Barnes,New Orleans Saints,1970,Receivers
Brad Ecklund,New Orleans Saints,1970,Offensive Line
Jim Royer,New Orleans Saints,1970,Offensive Line
Jerry Smith,New Orleans Saints,1970,Linebackers
Max Coley,Pittsburgh Steelers,1970,Offensive Backfield
Bob Fry,Pittsburgh Steelers,1970,Offensive Line
Lionel Taylor,Pittsburgh Steelers,1970,Receivers
Walter Hackett,Pittsburgh Steelers,1970,Defensive Line
Charlie Sumner,Pittsburgh Steelers,1970,Defensive Backfield
Louis Riecke,Pittsburgh Steelers,1970,Strength
Ralph Berlin,Pittsburgh Steelers,1970,Trainer
Robert Milie,Pittsburgh Steelers,1970,Assistant Trainer
Billy Ray Barnes,Atlanta Falcons,1971,Offensive Backfield
Duane Putnam,Atlanta Falcons,1971,Offensive Line
Marion Campbell,Atlanta Falcons,1971,Head Defensive
Bob Griffin,Atlanta Falcons,1971,Defensive Line
Dick Bielski,Baltimore Colts,1971,Receivers/Offensive Ends
Bobby Boyd,Baltimore Colts,1971,Defensive Backfield
Jack Donaldson,Cincinnati Bengals,1971,Offensive Backfield
Chuck Studley,Cincinnati Bengals,1971,Defensive Line
Vince Costello,Cincinnati Bengals,1971,Linebackers
Ray Prochaska,Cleveland Browns,1971,Offensive Line
Jerry Williams,Cleveland Browns,1971,Offensive Backs
Bob Nussbaumer,Cleveland Browns,1971,Wide Receivers
Dick Modzelewski,Cleveland Browns,1971,Defensive Line
Leo Murphy,Cleveland Browns,1971,Trainer
Hunter Enis,Denver Broncos,1971,Offensive Backs
Stan Jones,Denver Broncos,1971,Defensive Line
Whitey Dovell,Denver Broncos,1971,Special Teams/Tight Ends
Rollie Dotsch,Green Bay Packers,1971,Offensive Line
Burt Gustafson,Green Bay Packers,1971,Linebackers
Don Doll,Green Bay Packers,1971,Defensive Backs
Howard Schnellenberger,Miami Dolphins,1971,Offense/Receivers
Carl Taseff,Miami Dolphins,1971,Offensive Backs
Bill Arnsparger,Miami Dolphins,1971,Defense/Linebackers
Mike Scarry,Miami Dolphins,1971,Defensive Line
Tom Keane,Miami Dolphins,1971,Defensive Backs
Jerry Stoltz,New England Patriots,1971,Receivers
Bruce Beatty,New England Patriots,1971,Offensive Line
Dick Evans,New England Patriots,1971,Defensive Line
John Meyer,New England Patriots,1971,Linebackers
Tom Fletcher,New England Patriots,1971,Defensive Backfield
Charlie Tate,New Orleans Saints,1971,Offensive Backfield
Jim Royer,New Orleans Saints,1971,Offensive Line
Marv Matuszak,New Orleans Saints,1971,Linebackers
Bud Whitehead,New Orleans Saints,1971,Defensive Backfield
Max Coley,Pittsburgh Steelers,1971,Offensive Backfield
Bob Fry,Pittsburgh Steelers,1971,Offensive Line
Babe Parilli,Pittsburgh Steelers,1971,Quarterbacks
Lionel Taylor,Pittsburgh Steelers,1971,Receivers
Walter Hackett,Pittsburgh Steelers,1971,Defensive Line
Charlie Sumner,Pittsburgh Steelers,1971,Defensive Backfield
Louis Riecke,Pittsburgh Steelers,1971,Strength
Ralph Berlin,Pittsburgh Steelers,1971,Trainer
Billy Ray Barnes,Atlanta Falcons,1972,Offensive Backfield
Duane Putnam,Atlanta Falcons,1972,Offensive Line
Marion Campbell,Atlanta Falcons,1972,Head Defensive
Bob Griffin,Atlanta Falcons,1972,Defensive Line
Dick Bielski,Baltimore Colts,1972,Receivers/Offensive Ends
Bobby Boyd,Baltimore Colts,1972,Defensive Backfield
Bob Shaw,Buffalo Bills,1972,Receivers
Jim Ringo,Buffalo Bills,1972,Offensive Line
Stan Jones,Buffalo Bills,1972,Defensive Line
Bill Atkins,Buffalo Bills,1972,Defensive Backfield
Ed Cavanaugh,Buffalo Bills,1972,Special Teams
Jack Donaldson,Cincinnati Bengals,1972,Offensive Backfield
Chuck Studley,Cincinnati Bengals,1972,Defensive Line
Vince Costello,Cincinnati Bengals,1972,Linebackers
Ray Prochaska,Cleveland Browns,1972,Offensive Line
John David Crow,Cleveland Browns,1972,Offensive Backs
Fran Polsfoot,Cleveland Browns,1972,Wide Receivers
Dick Modzelewski,Cleveland Browns,1972,Defensive Line
Alva Tabor,Cleveland Browns,1972,Special Teams
Leo Murphy,Cleveland Browns,1972,Trainer
Jerry Frei,Denver Broncos,1972,Offensive Line
Doc Urich,Denver Broncos,1972,Defensive Line
Bob Gambold,Denver Broncos,1972,Linebackers
Myrel Moore,Denver Broncos,1972,Special Teams/Offensive Line
Jerry Stoltz,New England Patriots,1972,Receivers
Bruce Beatty,New England Patriots,1972,Offensive Line
Dick Evans,New England Patriots,1972,Defensive Line
John Meyer,New England Patriots,1972,Linebackers
