name,position,team,year,wlink
Dick Hoak,Offensive Backfield,Pittsburgh Steelers,1987,https://en.wikipedia.com/wiki/Dick_Hoak
Hal Hunter,Offensive Line: Centers/Guards,Pittsburgh Steelers,1987,"https://en.wikipedia.com/wiki/Hal_Hunter_(American_football,_born_1934)"
Jon Kolb,Computer &Amp; Special Teams,Pittsburgh Steelers,1987,https://en.wikipedia.com/wiki/Jon_Kolb
Tony Dungy,Defensive Coordinator,Pittsburgh Steelers,1987,https://en.wikipedia.com/wiki/Tony_Dungy
Dennis Fitzgerald,Computer &Amp; Special Teams,Pittsburgh Steelers,1987,https://en.wikipedia.com/wiki/Dennis_Fitzgerald
Joe Greene,Defensive Line,Pittsburgh Steelers,1987,https://en.wikipedia.com/wiki/Joe_Greene_(American_football)
Jed Hughes,Linebackers,Pittsburgh Steelers,1987,https://en.wikipedia.com/wiki/Jed_Hughes
Walt Evans,Conditioning &Amp; Training Coach,Pittsburgh Steelers,1987,
Ralph Berlin,Trainer,Pittsburgh Steelers,1987,
Fran Feld,Trainer,Pittsburgh Steelers,1987,
Al Saunders,Head Coach,San Diego Chargers,1987,https://en.wikipedia.com/wiki/Al_Saunders
Dave Levy,Offensive Coordinator,San Diego Chargers,1987,
Roger Theder,Quarterbacks,San Diego Chargers,1987,https://en.wikipedia.com/wiki/Roger_Theder
Bobby Jackson,Running Backs,San Diego Chargers,1987,https://en.wikipedia.com/wiki/Bobby_Jackson_(American_football_coach)
Charlie Joiner,Receivers,San Diego Chargers,1987,https://en.wikipedia.com/wiki/Charlie_Joiner
Ron Lynn,Defensive Coordinator,San Diego Chargers,1987,https://en.wikipedia.com/wiki/Ron_Lynn
Gunther Cunningham,Defensive Line,San Diego Chargers,1987,https://en.wikipedia.com/wiki/Gunther_Cunningham
Mike Haluchak,Linebackers,San Diego Chargers,1987,https://en.wikipedia.com/wiki/Mike_Haluchak
Wayne Sevier,Special Teams,San Diego Chargers,1987,
Neal Dahlen,Administrator Of Football Operations,San Francisco 49ers,1987,https://en.wikipedia.com/wiki/Neal_Dahlen
Bill Walsh,Head Coach,San Francisco 49ers,1987,
Mike Holmgren,Quarterbacks,San Francisco 49ers,1987,https://en.wikipedia.com/wiki/Mike_Holmgren
Sherman Lewis,Running Backs,San Francisco 49ers,1987,https://en.wikipedia.com/wiki/Sherman_Lewis
Dennis Green,Receivers,San Francisco 49ers,1987,https://en.wikipedia.com/wiki/Dennis_Green
Bobb McKittrick,Offensive Line,San Francisco 49ers,1987,https://en.wikipedia.com/wiki/Bobb_McKittrick
George Seifert,Defensive Coordinator,San Francisco 49ers,1987,https://en.wikipedia.com/wiki/George_Seifert
Fred von Appen,Defensive Line,San Francisco 49ers,1987,https://en.wikipedia.com/wiki/Fred_von_Appen
Bill McPherson,Linebackers,San Francisco 49ers,1987,https://en.wikipedia.com/wiki/Bill_McPherson
Ray Rhodes,Defensive Backs,San Francisco 49ers,1987,https://en.wikipedia.com/wiki/Ray_Rhodes
Tommy Hart,Defensive Assistant,San Francisco 49ers,1987,https://en.wikipedia.com/wiki/Tommy_Hart
Lynn Stiles,Special Teams,San Francisco 49ers,1987,https://en.wikipedia.com/wiki/Lynn_Stiles
Jerry Attaway,Physical Development Coordinator,San Francisco 49ers,1987,
Chuck Knox,Head Coach,Seattle Seahawks,1987,https://en.wikipedia.com/wiki/Chuck_Knox
Tom Catlin,Assistant Head Coach,Seattle Seahawks,1987,https://en.wikipedia.com/wiki/Tom_Catlin
Steve Moore,Offensive Coordinator/Receivers,Seattle Seahawks,1987,
Ken Meyer,Quarterbacks,Seattle Seahawks,1987,https://en.wikipedia.com/wiki/Ken_Meyer
Chick Harris,Offensive Backs,Seattle Seahawks,1987,https://en.wikipedia.com/w/index.php?title=Chick_Harris&amp;action=edit&amp;redlink=1
Russ Purnell,Tight Ends,Seattle Seahawks,1987,https://en.wikipedia.com/wiki/Russ_Purnell
Kent Stephenson,Offensive Line,Seattle Seahawks,1987,
Tom Catlin,Defensive Coordinator/Linebackers,Seattle Seahawks,1987,
George Dyer,Defensive Line,Seattle Seahawks,1987,
Rusty Tillman,Assistant Linebackers,Seattle Seahawks,1987,https://en.wikipedia.com/wiki/Rusty_Tillman
Ralph Hawkins,Defensive Backs,Seattle Seahawks,1987,https://en.wikipedia.com/wiki/Ralph_Hawkins_(American_football)
Joe Vitt,Special Assignments,Seattle Seahawks,1987,https://en.wikipedia.com/wiki/Joe_Vitt
Rusty Tillman,Special Teams,Seattle Seahawks,1987,
Russ Purnell,Assistant Special Teams,Seattle Seahawks,1987,
Gene Stallings,Head Coach,St. Louis Cardinals (NFL),1987,https://en.wikipedia.com/wiki/Gene_Stallings
Jim Shofner,Offensive Coordinator,St. Louis Cardinals (NFL),1987,https://en.wikipedia.com/wiki/Jim_Shofner
Hank Kuhlmann,Running Backs,St. Louis Cardinals (NFL),1987,https://en.wikipedia.com/wiki/Hank_Kuhlmann
Mal Moore,Receivers,St. Louis Cardinals (NFL),1987,https://en.wikipedia.com/wiki/Mal_Moore
Tom Bresnahan,Offensive Line,St. Louis Cardinals (NFL),1987,https://en.wikipedia.com/wiki/Tom_Bresnahan
Leon McLaughlin,Special Assistant/Quality Control,St. Louis Cardinals (NFL),1987,https://en.wikipedia.com/wiki/Leon_McLaughlin
Jim Johnson,Defensive Line,St. Louis Cardinals (NFL),1987,https://en.wikipedia.com/wiki/Jim_Johnson_(American_football)
Joe Pascale,Linebackers,St. Louis Cardinals (NFL),1987,
Mel Renfro,Defensive Backs,St. Louis Cardinals (NFL),1987,https://en.wikipedia.com/wiki/Mel_Renfro
Marv Braden,Special Teams,St. Louis Cardinals (NFL),1987,
LeBaron Caruthers,Strength And Conditioning,St. Louis Cardinals (NFL),1987,
Marion Campbell,Head Coach,Atlanta Falcons,1988,https://en.wikipedia.com/wiki/Marion_Campbell
Jim Hanifan,Assistant Head Coach/Offense,Atlanta Falcons,1988,https://en.wikipedia.com/wiki/Jim_Hanifan
Rod Dowhower,Offensive Coordinator,Atlanta Falcons,1988,https://en.wikipedia.com/wiki/Rod_Dowhower
Steve Crosby,Running Backs,Atlanta Falcons,1988,https://en.wikipedia.com/wiki/Steve_Crosby
Jimmy Raye,Receivers,Atlanta Falcons,1988,https://en.wikipedia.com/wiki/Jimmy_Raye_II
Foge Fazio,Tight Ends,Atlanta Falcons,1988,https://en.wikipedia.com/wiki/Foge_Fazio
Fred Bruney,Assistant Head Coach/Defense,Atlanta Falcons,1988,https://en.wikipedia.com/wiki/Fred_Bruney
Tommy Brasher,Defensive Line,Atlanta Falcons,1988,https://en.wikipedia.com/wiki/Tommy_Brasher
Chuck Clausen,Linebackers,Atlanta Falcons,1988,
Claude Humphrey,Defensive Assistant,Atlanta Falcons,1988,https://en.wikipedia.com/wiki/Claude_Humphrey
Foge Fazio,Special Teams,Atlanta Falcons,1988,
Tim Jorgensen,Strength And Conditioning,Atlanta Falcons,1988,
Marv Levy,Head Coach,Buffalo Bills,1988,
Jim Ringo,Offensive Coordinator/Offensive Line,Buffalo Bills,1988,https://en.wikipedia.com/wiki/Jim_Ringo
Ted Marchibroda,Quarterbacks/Passing Game Coordinator,Buffalo Bills,1988,https://en.wikipedia.com/wiki/Ted_Marchibroda
Elijah Pitts,Running Backs,Buffalo Bills,1988,https://en.wikipedia.com/wiki/Elijah_Pitts
Ted Tollner,Receivers,Buffalo Bills,1988,https://en.wikipedia.com/wiki/Ted_Tollner
Chuck Dickerson,Tight Ends,Buffalo Bills,1988,
Walt Corey,Defensive Coordinator/Linebackers,Buffalo Bills,1988,https://en.wikipedia.com/wiki/Walt_Corey
Ted Cottrell,Defensive Line,Buffalo Bills,1988,https://en.wikipedia.com/wiki/Ted_Cottrell
Dick Roach,Defensive Backs,Buffalo Bills,1988,
Chuck Lester,Defensive Assistant,Buffalo Bills,1988,
Bruce DeHaven,Special Teams,Buffalo Bills,1988,https://en.wikipedia.com/wiki/Bruce_DeHaven
Rusty Jones,Strength And Conditioning Coordinator,Buffalo Bills,1988,https://en.wikipedia.com/wiki/Rusty_Jones_(American_football_coach)
Marty Schottenheimer,Head Coach,Cleveland Browns,1988,https://en.wikipedia.com/wiki/Marty_Schottenheimer
Marc Trestman,Quarterbacks,Cleveland Browns,1988,https://en.wikipedia.com/wiki/Marc_Trestman
Joe Pendry,Running Backs,Cleveland Browns,1988,https://en.wikipedia.com/wiki/Joe_Pendry
Richard Mann,Receivers,Cleveland Browns,1988,
Ray Braun,Tight Ends,Cleveland Browns,1988,https://en.wikipedia.com/wiki/Ray_Braun
Howard Mudd,Offensive Line,Cleveland Browns,1988,https://en.wikipedia.com/wiki/Howard_Mudd
Dave Adolph,Defensive Coordinator,Cleveland Browns,1988,https://en.wikipedia.com/wiki/Dave_Adolph
Tom Pratt,Defensive Line,Cleveland Browns,1988,https://en.wikipedia.com/wiki/Tom_Pratt_(American_football)
Bill Cowher,Secondary,Cleveland Browns,1988,https://en.wikipedia.com/wiki/Bill_Cowher
Darvin Wallis,Special Assistant/Defense,Cleveland Browns,1988,
Kurt Schottenheimer,Special Teams,Cleveland Browns,1988,https://en.wikipedia.com/wiki/Kurt_Schottenheimer
Dave Redding,Strength And Conditioning,Cleveland Browns,1988,https://en.wikipedia.com/wiki/Dave_Redding
Dan Reeves,Head Coach,Denver Broncos,1988,https://en.wikipedia.com/wiki/Dan_Reeves
Joe Collier,Assistant Head Coach/Defense,Denver Broncos,1988,https://en.wikipedia.com/wiki/Joe_Collier
Marvin Bass,Special Assistant,Denver Broncos,1988,https://en.wikipedia.com/wiki/Marvin_Bass
Chan Gailey,Quarterbacks,Denver Broncos,1988,https://en.wikipedia.com/wiki/Chan_Gailey
Mo Forte,Running Backs,Denver Broncos,1988,https://en.wikipedia.com/wiki/Mo_Forte
Larry Kennan,Wide Receivers,Denver Broncos,1988,https://en.wikipedia.com/wiki/Larry_Kennan
Pete Mangurian,Tight Ends/Assistant Offensive Line,Denver Broncos,1988,https://en.wikipedia.com/wiki/Pete_Mangurian
George Henshaw,Offensive Line,Denver Broncos,1988,https://en.wikipedia.com/wiki/George_Henshaw
Stan Jones,Defensive Line,Denver Broncos,1988,https://en.wikipedia.com/wiki/Stan_Jones_(American_football)
Rubin Carter,Assistant Defensive Line,Denver Broncos,1988,https://en.wikipedia.com/wiki/Rubin_Carter_(American_football)
Myrel Moore,Linebackers,Denver Broncos,1988,
Charlie West,Defensive Backs/Secondary,Denver Broncos,1988,https://en.wikipedia.com/wiki/Charlie_West
Mike Nolan,Special Teams Coordinator/Defensive Assistant/Linebackers,Denver Broncos,1988,https://en.wikipedia.com/wiki/Mike_Nolan
Charlie Waters,Special Teams,Denver Broncos,1988,https://en.wikipedia.com/wiki/Charlie_Waters
Al Miller,Strength And Conditioning,Denver Broncos,1988,https://en.wikipedia.com/wiki/Al_Miller_(American_football)
"William Clay Ford, Jr.",Treasurer,Detroit Lions,1988,"https://en.wikipedia.com/wiki/William_Clay_Ford,_Jr."
Bob Baker,Offensive Coordinator/Quarterbacks,Detroit Lions,1988,
Vic Rapp,Running Backs,Detroit Lions,1988,https://en.wikipedia.com/wiki/Vic_Rapp
Lew Carpenter,Receivers,Detroit Lions,1988,https://en.wikipedia.com/wiki/Lew_Carpenter
Bill Muir,Offensive Line,Detroit Lions,1988,https://en.wikipedia.com/wiki/Bill_Muir
Wayne Fontes,Defensive Coordinator/Secondary,Detroit Lions,1988,https://en.wikipedia.com/wiki/Wayne_Fontes
Dick Modzelewski,Defensive Line,Detroit Lions,1988,https://en.wikipedia.com/wiki/Dick_Modzelewski
Mike Murphy,Inside Linebackers,Detroit Lions,1988,https://en.wikipedia.com/wiki/Mike_Murphy_(American_football)
Willie Shaw,Outside Linebackers,Detroit Lions,1988,https://en.wikipedia.com/wiki/Willie_Shaw
Carl Battershell,Special Teams,Detroit Lions,1988,
Don Clemons,Strength And Conditioning Coordinator,Detroit Lions,1988,
Lindy Infante,Head Coach,Green Bay Packers,1988,https://en.wikipedia.com/wiki/Lindy_Infante
Willie Peete,Offensive Backs,Green Bay Packers,1988,
"Wayne ""Buddy"" Geis",Wide Receivers,Green Bay Packers,1988,
Virgil Knight,Tight Ends,Green Bay Packers,1988,
Charlie Davis,Offensive Line,Green Bay Packers,1988,
Joe Clark,Offensive Assistant,Green Bay Packers,1988,
Hank Bullough,Defensive Coordinator,Green Bay Packers,1988,https://en.wikipedia.com/wiki/Hank_Bullough
Greg Blache,Defensive Line,Green Bay Packers,1988,https://en.wikipedia.com/wiki/Greg_Blache
Dick Moseley,Outside Linebackers,Green Bay Packers,1988,
Dick Jauron,Defensive Backs,Green Bay Packers,1988,https://en.wikipedia.com/wiki/Dick_Jauron
Howard Tippett,Special Teams,Green Bay Packers,1988,
Virgil Knight,Strength And Conditioning,Green Bay Packers,1988,
Jerry Glanville,Head Coach,Houston Oilers,1988,https://en.wikipedia.com/wiki/Jerry_Glanville
June Jones,Quarterbacks,Houston Oilers,1988,https://en.wikipedia.com/wiki/June_Jones
Ray Sherman,Running Backs,Houston Oilers,1988,https://en.wikipedia.com/wiki/Ray_Sherman
Milt Jackson,Receivers,Houston Oilers,1988,
Richard Smith,Tight Ends,Houston Oilers,1988,https://en.wikipedia.com/wiki/Richard_Smith_(American_football_coach)
Kim Helton,Offensive Line,Houston Oilers,1988,https://en.wikipedia.com/wiki/Kim_Helton
Doug Shively,Defensive Line,Houston Oilers,1988,https://en.wikipedia.com/wiki/Doug_Shively
Floyd Reese,Linebackers,Houston Oilers,1988,https://en.wikipedia.com/wiki/Floyd_Reese
Nick Saban,Secondary,Houston Oilers,1988,https://en.wikipedia.com/wiki/Nick_Saban
Richard Smith,Special Teams,Houston Oilers,1988,
Dwight Point,Special Teams Intern,Houston Oilers,1988,
Steve Watterson,Strength And Rehabilitation,Houston Oilers,1988,
Ron Meyer,Head Coach,Indianapolis Colts,1988,https://en.wikipedia.com/wiki/Ron_Meyer
Tom Lovat,Assistant Head Coach,Indianapolis Colts,1988,https://en.wikipedia.com/wiki/Tom_Lovat
John Becker,Offensive Coordinator,Indianapolis Colts,1988,
Leon Burtnett,Running Backs,Indianapolis Colts,1988,https://en.wikipedia.com/wiki/Leon_Burtnett
Chip Myers,Receivers,Indianapolis Colts,1988,https://en.wikipedia.com/wiki/Chip_Myers
Tom Lovat,Offensive Line,Indianapolis Colts,1988,
Keith Rowen,Assistant Offensive Line,Indianapolis Colts,1988,https://en.wikipedia.com/wiki/Keith_Rowen
George Hill,Defensive Coordinator,Indianapolis Colts,1988,https://en.wikipedia.com/wiki/George_Hill_(American_football)
John Marshall,Defensive Line,Indianapolis Colts,1988,https://en.wikipedia.com/wiki/John_Marshall_(American_football)
Rick Venturi,Linebackers,Indianapolis Colts,1988,https://en.wikipedia.com/wiki/Rick_Venturi
George Catavolos,Secondary,Indianapolis Colts,1988,https://en.wikipedia.com/wiki/George_Catavolos
Keith Rowen,Special Teams,Indianapolis Colts,1988,
Tom Zupancic,Strength And Conditioning,Indianapolis Colts,1988,
Frank Gansz,Head Coach,Kansas City Chiefs,1988,https://en.wikipedia.com/wiki/Frank_Gansz
George Sefcik,Offensive Coordinator,Kansas City Chiefs,1988,https://en.wikipedia.com/wiki/George_Sefcik
Billie Matthews,Running Backs,Kansas City Chiefs,1988,https://en.wikipedia.com/w/index.php?title=Billie_Matthews&amp;action=edit&amp;redlink=1
Dick Wood,Wide Receivers,Kansas City Chiefs,1988,https://en.wikipedia.com/wiki/Dick_Wood
JD Helm,Tight Ends,Kansas City Chiefs,1988,https://en.wikipedia.com/w/index.php?title=JD_Helm&amp;action=edit&amp;redlink=1
Carl Mauck,Offensive Line,Kansas City Chiefs,1988,https://en.wikipedia.com/wiki/Carl_Mauck
Rod Rust,Defensive Coordinator,Kansas City Chiefs,1988,https://en.wikipedia.com/wiki/Rod_Rust
Don Lawrence,Defensive Line,Kansas City Chiefs,1988,https://en.wikipedia.com/wiki/Don_Lawrence_(American_football)
Dave Brazil,Linebackers,Kansas City Chiefs,1988,https://en.wikipedia.com/wiki/Dave_Brazil_(American_football)
Tom Bettis,Defensive Backs,Kansas City Chiefs,1988,https://en.wikipedia.com/wiki/Tom_Bettis
Ed Beckman,Special Teams,Kansas City Chiefs,1988,https://en.wikipedia.com/wiki/Ed_Beckman
CT Hewgley,Strength And Conditioning,Kansas City Chiefs,1988,https://en.wikipedia.com/w/index.php?title=CT_Hewgley&amp;action=edit&amp;redlink=1
Mike Shanahan,Head Coach,Los Angeles Raiders,1988,https://en.wikipedia.com/wiki/Mike_Shanahan
Alex Gibbs,Special Assistant To The Head Coach,Los Angeles Raiders,1988,https://en.wikipedia.com/wiki/Alex_Gibbs
Tom Walsh,Quarterbacks,Los Angeles Raiders,1988,https://en.wikipedia.com/wiki/Tom_Walsh_(American_football)
Joe Scannella,Offensive Backs,Los Angeles Raiders,1988,https://en.wikipedia.com/wiki/Joe_Scannella
Nick Nicolau,Receivers,Los Angeles Raiders,1988,https://en.wikipedia.com/wiki/Nick_Nicolau
Art Shell,Offensive Line,Los Angeles Raiders,1988,https://en.wikipedia.com/wiki/Art_Shell
Terry Robiskie,Coaches Assistant,Los Angeles Raiders,1988,https://en.wikipedia.com/wiki/Terry_Robiskie
Earl Leggett,Defensive Line,Los Angeles Raiders,1988,https://en.wikipedia.com/wiki/Earl_Leggett
Sam Gruneisen,Linebackers,Los Angeles Raiders,1988,https://en.wikipedia.com/wiki/Sam_Gruneisen
Charlie Sumner,Linebackers,Los Angeles Raiders,1988,https://en.wikipedia.com/wiki/Charlie_Sumner
Willie Brown,Defensive Backs,Los Angeles Raiders,1988,https://en.wikipedia.com/wiki/Willie_Brown_(American_football)
Jimmy Warren,Defensive Backs,Los Angeles Raiders,1988,https://en.wikipedia.com/wiki/Jimmy_Warren
Pete Rodriguez,Special Teams,Los Angeles Raiders,1988,https://en.wikipedia.com/wiki/Pete_Rodriguez_(American_football)
John Dunn,Strength And Conditioning,Los Angeles Raiders,1988,
Don Shula,Head Coach,Miami Dolphins,1988,
David Shula,Assistant Head Coach,Miami Dolphins,1988,https://en.wikipedia.com/wiki/David_Shula
David Shula,Quarterbacks/Pass Game,Miami Dolphins,1988,
Carl Taseff,Offensive Backs,Miami Dolphins,1988,https://en.wikipedia.com/wiki/Carl_Taseff
Larry Seiple,Receivers,Miami Dolphins,1988,https://en.wikipedia.com/wiki/Larry_Seiple
Mike Westhoff,Tight Ends,Miami Dolphins,1988,https://en.wikipedia.com/wiki/Mike_Westhoff
John Sandusky,Offensive Line,Miami Dolphins,1988,https://en.wikipedia.com/wiki/John_Sandusky
Tom Olivadotti,Defense,Miami Dolphins,1988,https://en.wikipedia.com/wiki/Tom_Olivadotti
Dan Sekanovich,Defensive Line,Miami Dolphins,1988,
Chuck Studley,Linebackers,Miami Dolphins,1988,https://en.wikipedia.com/wiki/Chuck_Studley
Mel Phillips,Defensive Backs,Miami Dolphins,1988,https://en.wikipedia.com/wiki/Mel_Phillips
Mike Westhoff,Special Teams,Miami Dolphins,1988,
Junior Wade,Strength And Conditioning,Miami Dolphins,1988,
Mike Lynn,General Manager,Minnesota Vikings,1988,
Jerry Burns,Head Coach,Minnesota Vikings,1988,https://en.wikipedia.com/wiki/Jerry_Burns
Bob Schnelker,Offensive Coordinator,Minnesota Vikings,1988,https://en.wikipedia.com/wiki/Bob_Schnelker
Dick Rehbein,Receivers,Minnesota Vikings,1988,https://en.wikipedia.com/wiki/Dick_Rehbein
Jerry Brown,Offensive Assistant/Receivers,Minnesota Vikings,1988,
John Brunner,Running Backs,Minnesota Vikings,1988,
Tom Batta,Tight Ends,Minnesota Vikings,1988,
John Michels,Offensive Line,Minnesota Vikings,1988,https://en.wikipedia.com/wiki/John_Michels_(guard)
Tom Batta,Special Teams,Minnesota Vikings,1988,
Raymond Berry,Head Coach,New England Patriots,1988,https://en.wikipedia.com/wiki/Raymond_Berry
Rod Humenuik,Assistant Head Coach-Offense,New England Patriots,1988,https://en.wikipedia.com/wiki/Rod_Humenuik
John Polonchek,Special Assistant To Head Coach,New England Patriots,1988,
Rod Humenuik,Offensive Coordinator,New England Patriots,1988,
Les Steckel,Quarterbacks/Passing Game Coordinator,New England Patriots,1988,https://en.wikipedia.com/wiki/Les_Steckel
Bobby Grier,Offensive Backfield/Running Game Coordinator,New England Patriots,1988,https://en.wikipedia.com/w/index.php?title=Bobby_Grier_(American_football_coach)&amp;action=edit&amp;redlink=1
Harold Jackson,Receivers,New England Patriots,1988,https://en.wikipedia.com/wiki/Harold_Jackson_(American_football)
Dante Scarnecchia,Tight Ends,New England Patriots,1988,https://en.wikipedia.com/wiki/Dante_Scarnecchia
Guy Morriss,Assistant Offensive Line,New England Patriots,1988,https://en.wikipedia.com/wiki/Guy_Morriss
Eddie Khayat,Defensive Line,New England Patriots,1988,https://en.wikipedia.com/wiki/Eddie_Khayat
Ray Hamilton,Assistant Defensive Line,New England Patriots,1988,https://en.wikipedia.com/wiki/Ray_Hamilton
Don Shinnick,Linebackers,New England Patriots,1988,https://en.wikipedia.com/wiki/Don_Shinnick
Jimmy Carr,Defensive Backfield,New England Patriots,1988,https://en.wikipedia.com/wiki/Jimmy_Carr_(American_football)
Don Blackmon,Staff Assistant,New England Patriots,1988,https://en.wikipedia.com/wiki/Don_Blackmon
Dante Scarnecchia,Special Teams,New England Patriots,1988,
Jerry Simmons,Strength And Conditioning,New England Patriots,1988,https://en.wikipedia.com/wiki/Jerry_Simmons_(American_football)
Jim Mora,Head Coach,New Orleans Saints,1988,https://en.wikipedia.com/wiki/Jim_E._Mora
Carl Smith,Offensive Coordinator/Quarterbacks,New Orleans Saints,1988,https://en.wikipedia.com/wiki/Carl_Smith_(American_football)
Jim Skipper,Running Backs,New Orleans Saints,1988,https://en.wikipedia.com/wiki/Jim_Skipper
Steve Walters,Wide Receivers,New Orleans Saints,1988,
Joe Marciano,Tight Ends,New Orleans Saints,1988,https://en.wikipedia.com/wiki/Joe_Marciano_(American_football)
Paul Boudreau,Offensive Line,New Orleans Saints,1988,https://en.wikipedia.com/wiki/Paul_Boudreau
Steve Sidwell,Defensive Coordinator/Inside Linebackers,New Orleans Saints,1988,https://en.wikipedia.com/wiki/Steve_Sidwell_(American_football)
John Pease,Defensive Line,New Orleans Saints,1988,https://en.wikipedia.com/wiki/John_Pease_(American_football)
Vic Fangio,Outside Linebackers,New Orleans Saints,1988,https://en.wikipedia.com/wiki/Vic_Fangio
Dom Capers,Defensive Backs,New Orleans Saints,1988,https://en.wikipedia.com/wiki/Dom_Capers
Joe Marciano,Special Teams,New Orleans Saints,1988,
Russell Paternostro,Strength And Conditioning,New Orleans Saints,1988,
Bill Parcells,Head Coach,New York Giants,1988,https://en.wikipedia.com/wiki/Bill_Parcells
Ron Erhardt,Offensive Coordinator,New York Giants,1988,https://en.wikipedia.com/wiki/Ron_Erhardt
Ray Handley,Offensive Backfield,New York Giants,1988,https://en.wikipedia.com/wiki/Ray_Handley
Tom Coughlin,Receivers,New York Giants,1988,https://en.wikipedia.com/wiki/Tom_Coughlin
Mike Pope,Tight Ends,New York Giants,1988,https://en.wikipedia.com/wiki/Mike_Pope
Fred Hoaglin,Offensive Line,New York Giants,1988,https://en.wikipedia.com/wiki/Fred_Hoaglin
Bill Belichick,Defensive Coordinator,New York Giants,1988,https://en.wikipedia.com/wiki/Bill_Belichick
Lamar Leachman,Defensive Line,New York Giants,1988,
Len Fontes,Defensive Backfield,New York Giants,1988,
Mike Sweatman,Defensive Assistant,New York Giants,1988,
Romeo Crennel,Special Teams,New York Giants,1988,https://en.wikipedia.com/wiki/Romeo_Crennel
Mike Sweatman,Assistant Special Teams,New York Giants,1988,
Johnny Parker,Strength And Conditioning,New York Giants,1988,
Joe Walton,Head Coach,New York Jets,1988,https://en.wikipedia.com/wiki/Joe_Walton
Rich Kotite,Offensive Coordinator?Receivers Coach,New York Jets,1988,https://en.wikipedia.com/wiki/Rich_Kotite
Zeke Bratkowski,Quarterbacks Coach,New York Jets,1988,https://en.wikipedia.com/wiki/Zeke_Bratkowski
Bobby Hammond,Running Backs Coach,New York Jets,1988,https://en.wikipedia.com/wiki/Bobby_Hammond
Dan Radakovich,Offensive Line Coach,New York Jets,1988,https://en.wikipedia.com/wiki/Dan_Radakovich
Bud Carson,Defensive Coordinator,New York Jets,1988,https://en.wikipedia.com/wiki/Bud_Carson
Jim Vechiarella,Linebackers Coach,New York Jets,1988,https://en.wikipedia.com/wiki/Jim_Vechiarella
Mike Faulkiner,Secondary,New York Jets,1988,https://en.wikipedia.com/w/index.php?title=Mike_Faulkiner&amp;action=edit&amp;redlink=1
Larry Pasquale,Special Teams Coach,New York Jets,1988,https://en.wikipedia.com/wiki/Larry_Pasquale
Ray Callahan,Quality Control,New York Jets,1988,https://en.wikipedia.com/wiki/Ray_Callahan
Buddy Ryan,Head Coach,Philadelphia Eagles,1988,https://en.wikipedia.com/wiki/Buddy_Ryan
Ted Plumb,Assistant Head Coach/Offense,Philadelphia Eagles,1988,
Doug Scovil,Quarterbacks,Philadelphia Eagles,1988,https://en.wikipedia.com/wiki/Doug_Scovil
Dave Atkins,Offensive Backs,Philadelphia Eagles,1988,https://en.wikipedia.com/wiki/Dave_Atkins_(American_football)
Bill Walsh,Offensive Line,Philadelphia Eagles,1988,https://en.wikipedia.com/wiki/Bill_Walsh_(American_football_player)
Dan Neal,Assistant Offensive Line,Philadelphia Eagles,1988,https://en.wikipedia.com/wiki/Dan_Neal
Wade Phillips,Defensive Coordinator/Linebackers,Philadelphia Eagles,1988,https://en.wikipedia.com/wiki/Wade_Phillips
Dale Haupt,Defensive Line,Philadelphia Eagles,1988,https://en.wikipedia.com/wiki/Dale_Haupt
Jeff Fisher,Defensive Backs,Philadelphia Eagles,1988,https://en.wikipedia.com/wiki/Jeff_Fisher
Al Roberts,Special Teams,Philadelphia Eagles,1988,https://en.wikipedia.com/wiki/Al_Roberts
Ronnie Jones,Strength And Conditioning,Philadelphia Eagles,1988,https://en.wikipedia.com/wiki/Ronnie_Jones_(American_football)
Gene Stallings,Head Coach,Phoenix Cardinals,1988,https://en.wikipedia.com/wiki/Gene_Stallings
Jim Shofner,Offensive Coordinator,Phoenix Cardinals,1988,https://en.wikipedia.com/wiki/Jim_Shofner
Hank Kuhlmann,Running Backs,Phoenix Cardinals,1988,https://en.wikipedia.com/wiki/Hank_Kuhlmann
Mal Moore,Receivers,Phoenix Cardinals,1988,https://en.wikipedia.com/wiki/Mal_Moore
Tom Bresnahan,Offensive Line,Phoenix Cardinals,1988,https://en.wikipedia.com/wiki/Tom_Bresnahan
Leon McLaughlin,Special Assistant/Quality Control,Phoenix Cardinals,1988,https://en.wikipedia.com/wiki/Leon_McLaughlin
Jim Johnson,Defensive Line,Phoenix Cardinals,1988,https://en.wikipedia.com/wiki/Jim_Johnson_(American_football)
Joe Pascale,Linebackers,Phoenix Cardinals,1988,
Dennis Thurman,Defensive Backs,Phoenix Cardinals,1988,https://en.wikipedia.com/wiki/Dennis_Thurman
Marv Braden,Special Teams,Phoenix Cardinals,1988,
LeBaron Caruthers,Strength And Conditioning,Phoenix Cardinals,1988,
James A. Boston,Chief Negotiator,Pittsburgh Steelers,1988,
Chuck Noll,Head Coach,Pittsburgh Steelers,1988,https://en.wikipedia.com/wiki/Chuck_Noll
Tom Moore,Offensive Coordinator,Pittsburgh Steelers,1988,https://en.wikipedia.com/wiki/Tom_Moore_(American_football_coach)
Ron Blackledge,Offensive Line: Tackles/Tight Ends,Pittsburgh Steelers,1988,https://en.wikipedia.com/wiki/Ron_Blackledge
Dick Hoak,Offensive Backfield,Pittsburgh Steelers,1988,https://en.wikipedia.com/wiki/Dick_Hoak
