name,team,year,position,phase,level,win,loss,tie
Bill Walsh,San Francisco 49ers,1979,Head Coach,Head,Head,2.0,14.0,0.0
Dick Nolan,New Orleans Saints,1980,Head Coach,Head,Head,1.0,15.0,0.0
Dennis Green,San Francisco 49ers,1979,Receivers/Special Teams/Running Backs,Offense,Coordinator,2.0,14.0,0.0
Bill McPherson,San Francisco 49ers,1979,Linebackers,Defense,Positional,2.0,14.0,0.0
Dick Stanfel,New Orleans Saints,1980,Offensive Line/Head Coach,Head,Head,1.0,15.0,0.0
Dick Stanfel,New Orleans Saints,1980,Offensive Line/Interim Head Coach,Head,Head,1.0,15.0,0.0
Mike White,San Francisco 49ers,1979,Offensive Line,Offense,Positional,2.0,14.0,0.0
Sam Wyche,San Francisco 49ers,1979,Quarterbacks,Offense,Positional,2.0,14.0,0.0
Ed Hughes,New Orleans Saints,1980,Offensive Assistant,Offense,Positional,1.0,15.0,0.0
Nick Nicolau,New Orleans Saints,1980,Offensive Backfield/Running Backs,Offense,Positional,1.0,15.0,0.0
Pete McCulley,San Francisco 49ers,1978,Head Coach,Head,Head,2.0,14.0,0.0
Fred O'Connor,San Francisco 49ers,1978,Head Coach,Head,Head,2.0,14.0,0.0
Frank Gansz,San Francisco 49ers,1978,Special Teams/Tight Ends,Offense,Coordinator,2.0,14.0,0.0
Les Steckel,San Francisco 49ers,1978,Receivers/Wide Receivers,Offense,Positional,2.0,14.0,0.0
Mike White,San Francisco 49ers,1978,Offensive Line,Offense,Positional,2.0,14.0,0.0
Hank Stram,New Orleans Saints,1977,Head Coach,Head,Head,3.0,11.0,0.0
Jim Garrett,New Orleans Saints,1977,Assistant Coach/Defensive Backfield,Defense,Positional,3.0,11.0,0.0
Rich Kotite,New Orleans Saints,1977,Quality Control/Tight Ends,Offense,Positional,3.0,11.0,0.0
Dick Nolan,New Orleans Saints,1977,Linebackers,Defense,Positional,3.0,11.0,0.0
Sam Rutigliano,New Orleans Saints,1977,Wide Receivers Coach/Receivers,Offense,Positional,3.0,11.0,0.0
Dick Stanfel,New Orleans Saints,1977,Offensive Line,Offense,Positional,3.0,11.0,0.0
Dick Wood,New Orleans Saints,1977,Quarterbacks,Offense,Positional,3.0,11.0,0.0
Jack Patera,Seattle Seahawks,1976,Head Coach,Head,Head,2.0,12.0,0.0
Ernie Hefferle,New Orleans Saints,1975,Head Coach - /Head Coach,Head,Head,2.0,12.0,0.0
John North,New Orleans Saints,1975,Head Coach,Head,Head,2.0,12.0,0.0
Doug Shivley,New Orleans Saints,1975,Linebackers,Defense,Positional,2.0,12.0,0.0
Marion Campbell,Atlanta Falcons,1974,Head Coach/Head Defensive,Head,Head,3.0,11.0,0.0
Norm Van Brocklin,Atlanta Falcons,1974,Head Coach,Head,Head,3.0,11.0,0.0
Fred Bruney,Atlanta Falcons,1974,Defensive Backs/Defensive Backfield,Defense,Positional,3.0,11.0,0.0
Harry Gilmer,Atlanta Falcons,1974,Assistant Coach/Receivers,Offense,Positional,3.0,11.0,0.0
Bud Grant,Minnesota Vikings,1967,Head Coach,Head,Head,3.0,8.0,3.0
Bob Hollway,Minnesota Vikings,1967,Defensive Line,Defense,Positional,3.0,8.0,3.0
JD Roberts,New Orleans Saints,1971,Head Coach,Head,Head,4.0,8.0,2.0
Paul Brown,Cincinnati Bengals,1969,Head Coach,Head,Head,4.0,9.0,1.0
Bill Johnson,Cincinnati Bengals,1969,Offensive Line,Offense,Positional,4.0,9.0,1.0
Bill Walsh,Cincinnati Bengals,1969,Receivers/Wide Receivers,Offense,Positional,4.0,9.0,1.0
Lou Saban,Denver Broncos,1969,Head Coach,Head,Head,5.0,8.0,1.0
Joe Collier,Denver Broncos,1969,Defensive Backs/Defensive Backfield,Defense,Positional,5.0,8.0,1.0
Dick MacPherson,Denver Broncos,1969,Assistant Coach/Linebackers,Defense,Positional,5.0,8.0,1.0
Sam Rutigliano,Denver Broncos,1969,Wide Receivers Coach/Wide Receivers,Offense,Positional,5.0,8.0,1.0
Harry Gilmer,Detroit Lions,1966,Head Coach,Head,Head,4.0,9.0,1.0
Sammy Baugh,Detroit Lions,1966,Assistant Coach,,Positional,4.0,9.0,1.0
John North,Detroit Lions,1966,Receivers,Offense,Positional,4.0,9.0,1.0
Lou Rymkus,Detroit Lions,1966,Offensive Line,Offense,Positional,4.0,9.0,1.0
Joe Schmidt,Detroit Lions,1966,Assistant Coach,,Positional,4.0,9.0,1.0
Steve Wilks,Arizona Cardinals,2018,Head Coach,Head,Head,3.0,13.0,0.0
Jason Michael,Arizona Cardinals,2018,Tight Ends,Offense,Positional,3.0,13.0,0.0
JD Roberts,New Orleans Saints,1972,Head Coach,Head,Head,2.0,11.0,1.0
Tom Fears,New Orleans Saints,1970,Head Coach,Head,Head,2.0,11.0,1.0
JD Roberts,New Orleans Saints,1970,Head Coach,Head,Head,2.0,11.0,1.0
Ed Biles,New Orleans Saints,1970,Assistant Coach/Defensive Backfield,Defense,Positional,2.0,11.0,1.0
Ed Khayat,New Orleans Saints,1970,Defensive Line,Defense,Positional,2.0,11.0,1.0
Norm Van Brocklin,Atlanta Falcons,1970,Head Coach,Head,Head,4.0,8.0,2.0
Fred Bruney,Atlanta Falcons,1970,Defensive Backs/Defensive Backfield,Defense,Positional,4.0,8.0,2.0
Harry Gilmer,Atlanta Falcons,1970,Assistant Coach/Receivers,Offense,Positional,4.0,8.0,2.0
George Allen,Los Angeles Rams,1970,Head Coach,Head,Head,9.0,4.0,1.0
Tom Catlin,Los Angeles Rams,1970,Linebackers,Defense,Positional,9.0,4.0,1.0
Marv Levy,Los Angeles Rams,1970,Special Teams,Special Teams,Coordinator,9.0,4.0,1.0
Ted Marchibroda,Los Angeles Rams,1970,Offensive Backs,Offense,Positional,9.0,4.0,1.0
John North,New Orleans Saints,1973,Head Coach,Head,Head,5.0,9.0,0.0
Jim Dooley,Chicago Bears,1969,Head Coach,Head,Head,1.0,13.0,0.0
Abe Gibron,Chicago Bears,1969,Defensive Line,Defense,Positional,1.0,13.0,0.0
Phil Bengtson,Green Bay Packers,1969,Head Coach,Head,Head,8.0,6.0,0.0
Zeke Bratkowski,Green Bay Packers,1969,Assistant,,Positional,8.0,6.0,0.0
Dave Hanner,Green Bay Packers,1969,Defensive Line,Defense,Positional,8.0,6.0,0.0
Bob Schnelker,Green Bay Packers,1969,Assistant,,Positional,8.0,6.0,0.0
Joe Schmidt,Detroit Lions,1969,Head Coach,Head,Head,9.0,4.0,1.0
Chuck Knox,Detroit Lions,1969,Offensive Line,Offense,Positional,9.0,4.0,1.0
John North,Detroit Lions,1969,Receivers,Offense,Positional,9.0,4.0,1.0
Dick Nolan,San Francisco 49ers,1969,Head Coach,Head,Head,4.0,8.0,2.0
Mike Holovak,San Francisco 49ers,1969,Offensive Backfield,Offense,Positional,4.0,8.0,2.0
Ed Hughes,San Francisco 49ers,1969,Offensive Coach,Offense,,4.0,8.0,2.0
Jim Shofner,San Francisco 49ers,1969,Defensive Backs,Defense,Positional,4.0,8.0,2.0
Paul Wiggin,San Francisco 49ers,1969,Defensive Line,Defense,Positional,4.0,8.0,2.0
Bud Grant,Minnesota Vikings,1969,Head Coach,Head,Head,12.0,2.0,0.0
Jack Patera,Minnesota Vikings,1969,Defensive Line,Defense,Positional,12.0,2.0,0.0
Norm Van Brocklin,Atlanta Falcons,1969,Head Coach,Head,Head,6.0,8.0,0.0
Fred Bruney,Atlanta Falcons,1969,Defensive Backs/Defensive Backfield,Defense,Positional,6.0,8.0,0.0
Don Shula,Baltimore Colts,1969,Head Coach/Linebackers Coach,Head,Head,8.0,5.0,1.0
Bill Arnsparger,Baltimore Colts,1969,Defensive Line,Defense,Positional,8.0,5.0,1.0
Don McCafferty,Baltimore Colts,1969,Offensive Backs/Offensive Backfield,Offense,Positional,8.0,5.0,1.0
George Allen,Los Angeles Rams,1969,Head Coach,Head,Head,11.0,3.0,0.0
Tom Catlin,Los Angeles Rams,1969,Defensive Backs,Defense,Positional,11.0,3.0,0.0
Ted Marchibroda,Los Angeles Rams,1969,Offensive Backs,Offense,Positional,11.0,3.0,0.0
Dick Vermeil,Los Angeles Rams,1969,Special Teams,Special Teams,Coordinator,11.0,3.0,0.0
Chuck Noll,Pittsburgh Steelers,1969,Head Coach,Head,Head,1.0,13.0,0.0
Dick Coury,Pittsburgh Steelers,1969,Assistant,,Positional,1.0,13.0,0.0
Charley Winner,St. Louis Cardinals,1969,Head Coach,Head,Head,4.0,9.0,1.0
Harry Gilmer,St. Louis Cardinals,1969,Quarterbacks,Offense,Positional,4.0,9.0,1.0
Red Miller,St. Louis Cardinals,1969,Offensive Line,Offense,Positional,4.0,9.0,1.0
Alex Webster,New York Giants,1969,Head Coach,Head,Head,6.0,8.0,0.0
Joe Walton,New York Giants,1969,Wide Receivers,Offense,Positional,6.0,8.0,0.0
Blanton Collier,Cleveland Browns,1969,Head Coach,Head,Head,10.0,3.0,1.0
Nick Skorich,Cleveland Browns,1969,Assistant Coach,,Positional,10.0,3.0,1.0
Jerry Williams,Philadelphia Eagles,1969,Head Coach,Head,Head,4.0,9.0,1.0
Marv Levy,Philadelphia Eagles,1969,Kicking Teams,Special Teams,,4.0,9.0,1.0
Dick Stanfel,Philadelphia Eagles,1969,Offensive Line,Offense,Positional,4.0,9.0,1.0
Tom Fears,New Orleans Saints,1969,Head Coach,Head,Head,5.0,9.0,0.0
Ed Biles,New Orleans Saints,1969,Assistant Coach/Defensive Backfield,Defense,Positional,5.0,9.0,0.0
Jack Faulkner,New Orleans Saints,1969,Defensive Coach/Chief Defensive,Defense,,5.0,9.0,0.0
Ed Khayat,New Orleans Saints,1969,Defensive Line,Defense,Positional,5.0,9.0,0.0
Vince Lombardi,Washington Redskins,1969,Head Coach,Head,Head,7.0,5.0,2.0
Bill Austin,Washington Redskins,1969,Offensive Line,Offense,Positional,7.0,5.0,2.0
Mike McCormack,Washington Redskins,1969,Assistant Coach,,Positional,7.0,5.0,2.0
Tom Landry,Dallas Cowboys,1969,Head Coach,Head,Head,11.0,2.0,1.0
Raymond Berry,Dallas Cowboys,1969,Receivers,Offense,Positional,11.0,2.0,1.0
Dick Nolan,San Francisco 49ers,1973,Head Coach,Head,Head,5.0,9.0,0.0
Jim Shofner,San Francisco 49ers,1973,Quarterbacks/Wide Receivers,Offense,Positional,5.0,9.0,0.0
Paul Wiggin,San Francisco 49ers,1973,Defensive Line,Defense,Positional,5.0,9.0,0.0
Norm Van Brocklin,Atlanta Falcons,1973,Head Coach,Head,Head,9.0,5.0,0.0
Fred Bruney,Atlanta Falcons,1973,Defensive Backs/Defensive Backfield,Defense,Positional,9.0,5.0,0.0
Harry Gilmer,Atlanta Falcons,1973,Assistant Coach/Receivers,Offense,Positional,9.0,5.0,0.0
Chuck Knox,Los Angeles Rams,1973,Head Coach,Head,Head,12.0,2.0,0.0
Leeman Bennett,Los Angeles Rams,1973,Receivers,Offense,Positional,12.0,2.0,0.0
Tom Catlin,Los Angeles Rams,1973,Linebackers,Defense,Positional,12.0,2.0,0.0
Jack Faulkner,Los Angeles Rams,1973,Assistant,,Positional,12.0,2.0,0.0
Dick Vermeil,Los Angeles Rams,1973,Assistant,,Positional,12.0,2.0,0.0
Abe Gibron,Chicago Bears,1973,Head Coach,Head,Head,3.0,11.0,0.0
Dan Devine,Green Bay Packers,1973,Head Coach,Head,Head,5.0,7.0,2.0
Hank Kuhlmann,Green Bay Packers,1973,Assistant,,Positional,5.0,7.0,2.0
Don McCafferty,Detroit Lions,1973,Head Coach,Head,Head,6.0,7.0,1.0
Raymond Berry,Detroit Lions,1973,Receivers,Offense,Positional,6.0,7.0,1.0
Rick Forzano,Detroit Lions,1973,Backfield Coach,Defense,Positional,6.0,7.0,1.0
Bob Hollway,Detroit Lions,1973,Defensive Backs,Defense,Positional,6.0,7.0,1.0
Ed Khayat,Detroit Lions,1973,Defensive Line,Defense,Positional,6.0,7.0,1.0
Bud Grant,Minnesota Vikings,1973,Head Coach,Head,Head,12.0,2.0,0.0
Jack Patera,Minnesota Vikings,1973,Defensive Line,Defense,Positional,12.0,2.0,0.0
Alex Webster,New York Giants,1973,Head Coach,Head,Head,2.0,11.0,1.0
Don Coryell,St. Louis Cardinals,1973,Head Coach,Head,Head,4.0,9.0,1.0
Joe Gibbs,St. Louis Cardinals,1973,Offensive Backfield,Offense,Positional,4.0,9.0,1.0
Jim Hanifan,St. Louis Cardinals,1973,Offensive Line,Offense,Positional,4.0,9.0,1.0
Mike McCormack,Philadelphia Eagles,1973,Head Coach,Head,Head,5.0,8.0,1.0
Dick LeBeau,Philadelphia Eagles,1973,Special Teams,Special Teams,Coordinator,5.0,8.0,1.0
John Mazur,Philadelphia Eagles,1973,Defensive Backs,Defense,Positional,5.0,8.0,1.0
George Allen,Washington Redskins,1973,Head Coach,Head,Head,10.0,4.0,0.0
Bill Austin,Washington Redskins,1973,Offensive Line,Offense,Positional,10.0,4.0,0.0
Charlie Waller,Washington Redskins,1973,Offensive Backfield,Offense,Positional,10.0,4.0,0.0
Tom Landry,Dallas Cowboys,1973,Head Coach,Head,Head,10.0,4.0,0.0
Mike Ditka,Dallas Cowboys,1973,Receivers/Special Teams,Offense,Coordinator,10.0,4.0,0.0
Ed Hughes,Dallas Cowboys,1973,Offensive Backfield,Offense,Positional,10.0,4.0,0.0
Gene Stallings,Dallas Cowboys,1973,Defensive Backs,Defense,Positional,10.0,4.0,0.0
Harland Svare,San Diego Chargers,1973,Head Coach,Head,Head,2.0,11.0,1.0
Ron Waller,San Diego Chargers,1973,Head Coach,Head,Head,2.0,11.0,1.0
Forrest Gregg,San Diego Chargers,1973,Offensive Line,Offense,Positional,2.0,11.0,1.0
John Ralston,Denver Broncos,1973,Head Coach,Head,Head,7.0,5.0,2.0
Dick Coury,Denver Broncos,1973,Wide Receivers,Offense,Positional,7.0,5.0,2.0
Richard Urich,Denver Broncos,1973,Defensive Line,Defense,Positional,7.0,5.0,2.0
Hank Stram,Kansas City Chiefs,1973,Head Coach,Head,Head,7.0,5.0,2.0
Tom Bettis,Kansas City Chiefs,1973,Defensive Backs,Defense,Positional,7.0,5.0,2.0
Walt Corey,Kansas City Chiefs,1973,Linebackers,Defense,Positional,7.0,5.0,2.0
John Madden,Oakland Raiders,1973,Head Coach,Head,Head,9.0,4.0,1.0
Tom Flores,Oakland Raiders,1973,Receivers,Offense,Positional,9.0,4.0,1.0
Bob Zeman,Oakland Raiders,1973,Defensive Backs,Defense,Positional,9.0,4.0,1.0
Bill Peterson,Houston Oilers,1973,Head Coach,Head,Head,1.0,13.0,0.0
Sid Gillman,Houston Oilers,1973,Head Coach,Head,Head,1.0,13.0,0.0
Nick Skorich,Cleveland Browns,1973,Head Coach,Head,Head,7.0,5.0,2.0
Richie McCabe,Cleveland Browns,1973,Defensive Backs,Defense,Positional,7.0,5.0,2.0
Chuck Noll,Pittsburgh Steelers,1973,Head Coach,Head,Head,10.0,4.0,0.0
Woody Widenhofer,Pittsburgh Steelers,1973,Linebackers/Defensive Assistant,Defense,Positional,10.0,4.0,0.0
Paul Brown,Cincinnati Bengals,1973,Head Coach,Head,Head,10.0,4.0,0.0
Bill Johnson,Cincinnati Bengals,1973,Offensive Line,Offense,Positional,10.0,4.0,0.0
Bill Walsh,Cincinnati Bengals,1973,Receivers/Quarterbacks,Offense,Positional,10.0,4.0,0.0
Howard Schnellenberger,Baltimore Colts,1973,Head Coach,Head,Head,4.0,10.0,0.0
George Sefcik,Baltimore Colts,1973,Quarterbacks/Running Backs,Offense,Positional,4.0,10.0,0.0
Weeb Ewbank,New York Jets,1973,Head Coach,Head,Head,4.0,10.0,0.0
Ed Biles,New York Jets,1973,Defensive Backs,Defense,Positional,4.0,10.0,0.0
Mike Holovak,New York Jets,1973,Offensive Assistant,Offense,Positional,4.0,10.0,0.0
Buddy Ryan,New York Jets,1973,Defensive Line,Defense,Positional,4.0,10.0,0.0
Charley Winner,New York Jets,1973,Defensive Coach,Defense,,4.0,10.0,0.0
Chuck Fairbanks,New England Patriots,1973,Head Coach,Head,Head,5.0,9.0,0.0
Hank Bullough,New England Patriots,1973,Defensive Line,Defense,Positional,5.0,9.0,0.0
Ron Erhardt,New England Patriots,1973,Offensive Backfield/Backfield Coach,Offense,Positional,5.0,9.0,0.0
Red Miller,New England Patriots,1973,Offensive Line,Offense,Positional,5.0,9.0,0.0
Sam Rutigliano,New England Patriots,1973,Offensive Backs/Receivers/Wide Receivers Coach,Offense,Positional,5.0,9.0,0.0
Lou Saban,Buffalo Bills,1973,Head Coach,Head,Head,9.0,5.0,0.0
Don Shula,Miami Dolphins,1973,Head Coach,Head,Head,12.0,2.0,0.0
Monte Clark,Miami Dolphins,1973,Offensive Line,Offense,Positional,12.0,2.0,0.0
Dick Nolan,San Francisco 49ers,1970,Head Coach,Head,Head,10.0,3.0,1.0
Ed Hughes,San Francisco 49ers,1970,Offensive Coach,Offense,,10.0,3.0,1.0
Jim Shofner,San Francisco 49ers,1970,Quarterbacks/Wide Receivers,Offense,Positional,10.0,3.0,1.0
Paul Wiggin,San Francisco 49ers,1970,Defensive Line,Defense,Positional,10.0,3.0,1.0
Joe Schmidt,Detroit Lions,1970,Head Coach,Head,Head,10.0,4.0,0.0
Chuck Knox,Detroit Lions,1970,Offensive Line,Offense,Positional,10.0,4.0,0.0
John North,Detroit Lions,1970,Receivers,Offense,Positional,10.0,4.0,0.0
Phil Bengtson,Green Bay Packers,1970,Head Coach,Head,Head,6.0,8.0,0.0
Zeke Bratkowski,Green Bay Packers,1970,Offensive Backs,Offense,Positional,6.0,8.0,0.0
Dave Hanner,Green Bay Packers,1970,Defensive Line,Defense,Positional,6.0,8.0,0.0
Bob Schnelker,Green Bay Packers,1970,Assistant,,Positional,6.0,8.0,0.0
Charley Winner,St. Louis Cardinals,1970,Head Coach,Head,Head,8.0,5.0,1.0
Leeman Bennett,St. Louis Cardinals,1970,Offensive Backfield,Offense,Positional,8.0,5.0,1.0
Red Miller,St. Louis Cardinals,1970,Offensive Line,Offense,Positional,8.0,5.0,1.0
Tom Landry,Dallas Cowboys,1970,Head Coach,Head,Head,10.0,4.0,0.0
Alex Webster,New York Giants,1970,Head Coach,Head,Head,9.0,5.0,0.0
Jim Garrett,New York Giants,1970,Assistant Coach,,Positional,9.0,5.0,0.0
Joe Walton,New York Giants,1970,Wide Receivers,Offense,Positional,9.0,5.0,0.0
Bill Austin,Washington Redskins,1970,Head Coach,Head,Head,6.0,8.0,0.0
Mike McCormack,Washington Redskins,1970,Assistant Coach,,Positional,6.0,8.0,0.0
Bud Grant,Minnesota Vikings,1970,Head Coach,Head,Head,12.0,2.0,0.0
Neill Armstrong,Minnesota Vikings,1970,Defensive Backs,Defense,Positional,12.0,2.0,0.0
Jack Patera,Minnesota Vikings,1970,Defensive Line,Defense,Positional,12.0,2.0,0.0
Lou Saban,Denver Broncos,1970,Head Coach,Head,Head,5.0,8.0,1.0
Joe Collier,Denver Broncos,1970,Defensive Backs/Defensive Backfield,Defense,Positional,5.0,8.0,1.0
Sam Rutigliano,Denver Broncos,1970,Wide Receivers Coach/Wide Receivers,Offense,Positional,5.0,8.0,1.0
Charlie Waller,San Diego Chargers,1970,Head Coach,Head,Head,5.0,6.0,3.0
Bum Phillips,San Diego Chargers,1970,Defensive Line,Defense,Positional,5.0,6.0,3.0
Hank Stram,Kansas City Chiefs,1970,Head Coach,Head,Head,7.0,5.0,2.0
Tom Bettis,Kansas City Chiefs,1970,Defensive Backs,Defense,Positional,7.0,5.0,2.0
Jerry Williams,Philadelphia Eagles,1970,Head Coach,Head,Head,3.0,10.0,1.0
Dick Stanfel,Philadelphia Eagles,1970,Offensive Line,Offense,Positional,3.0,10.0,1.0
Jim Dooley,Chicago Bears,1970,Head Coach,Head,Head,6.0,8.0,0.0
Abe Gibron,Chicago Bears,1970,Defensive Line,Defense,Positional,6.0,8.0,0.0
John Madden,Oakland Raiders,1970,Head Coach,Head,Head,8.0,4.0,2.0
Richie McCabe,Oakland Raiders,1970,Defensive Backs,Defense,Positional,8.0,4.0,2.0
Dick Wood,Oakland Raiders,1970,Receivers,Offense,Positional,8.0,4.0,2.0
Wally Lemm,Houston Oilers,1970,Head Coach,Head,Head,3.0,10.0,1.0
Hugh Devore,Houston Oilers,1970,Assistant Coach,,Positional,3.0,10.0,1.0
Chuck Noll,Pittsburgh Steelers,1970,Head Coach,Head,Head,5.0,9.0,0.0
Blanton Collier,Cleveland Browns,1970,Head Coach,Head,Head,7.0,7.0,0.0
Nick Skorich,Cleveland Browns,1970,Assistant Coach,,Positional,7.0,7.0,0.0
Paul Brown,Cincinnati Bengals,1970,Head Coach,Head,Head,8.0,6.0,0.0
Bill Johnson,Cincinnati Bengals,1970,Offensive Line,Offense,Positional,8.0,6.0,0.0
Bill Walsh,Cincinnati Bengals,1970,Receivers/Wide Receivers,Offense,Positional,8.0,6.0,0.0
John Mazur,Boston Patriots,1970,Head Coach/Offensive Backfield/Interim Head Coach,Head,Head,1.0,6.0,0.0
Clive Rush,Boston Patriots,1970,Head Coach,Head,Head,1.0,6.0,0.0
John Rauch,Buffalo Bills,1970,Head Coach,Head,Head,3.0,10.0,1.0
Ray Malavasi,Buffalo Bills,1970,Defensive Line,Defense,Positional,3.0,10.0,1.0
Weeb Ewbank,New York Jets,1970,Head Coach,Head,Head,4.0,10.0,0.0
Ken Meyer,New York Jets,1970,Offensive Assistant,Offense,Positional,4.0,10.0,0.0
Walt Michaels,New York Jets,1970,Defensive Backs/Linebackers,Defense,Positional,4.0,10.0,0.0
Buddy Ryan,New York Jets,1970,Defensive Line,Defense,Positional,4.0,10.0,0.0
Don Shula,Miami Dolphins,1970,Head Coach,Head,Head,10.0,4.0,0.0
Monte Clark,Miami Dolphins,1970,Offensive Line,Offense,Positional,10.0,4.0,0.0
Don McCafferty,Baltimore Colts,1970,Head Coach,Head,Head,11.0,2.0,1.0
Hank Bullough,Baltimore Colts,1970,Linebackers/Linebackers Coach,Defense,Positional,11.0,2.0,1.0
Lou Rymkus,Baltimore Colts,1970,Offensive Line/Offensive Line Coach,Offense,Positional,11.0,2.0,1.0
Tommy Prothro,Los Angeles Rams,1972,Head Coach,Head,Head,6.0,7.0,1.0
Rich Brooks,Los Angeles Rams,1972,Special Teams,Special Teams,Coordinator,6.0,7.0,1.0
Tom Catlin,Los Angeles Rams,1972,Linebackers,Defense,Positional,6.0,7.0,1.0
Dick Vermeil,Los Angeles Rams,1972,Assistant,,Positional,6.0,7.0,1.0
Norm Van Brocklin,Atlanta Falcons,1972,Head Coach,Head,Head,7.0,7.0,0.0
Fred Bruney,Atlanta Falcons,1972,Defensive Backs/Defensive Backfield,Defense,Positional,7.0,7.0,0.0
Harry Gilmer,Atlanta Falcons,1972,Assistant Coach/Receivers,Offense,Positional,7.0,7.0,0.0
Dick Nolan,San Francisco 49ers,1972,Head Coach,Head,Head,8.0,5.0,1.0
Jim Shofner,San Francisco 49ers,1972,Quarterbacks/Wide Receivers,Offense,Positional,8.0,5.0,1.0
Paul Wiggin,San Francisco 49ers,1972,Defensive Line,Defense,Positional,8.0,5.0,1.0
Abe Gibron,Chicago Bears,1972,Head Coach,Head,Head,4.0,9.0,1.0
Bud Grant,Minnesota Vikings,1972,Head Coach,Head,Head,7.0,7.0,0.0
Jack Patera,Minnesota Vikings,1972,Defensive Line,Defense,Positional,7.0,7.0,0.0
Joe Schmidt,Detroit Lions,1972,Head Coach,Head,Head,8.0,5.0,1.0
Leeman Bennett,Detroit Lions,1972,Offensive Backfield,Offense,Positional,8.0,5.0,1.0
Chuck Knox,Detroit Lions,1972,Offensive Line,Offense,Positional,8.0,5.0,1.0
John North,Detroit Lions,1972,Receivers,Offense,Positional,8.0,5.0,1.0
Dan Devine,Green Bay Packers,1972,Head Coach,Head,Head,10.0,4.0,0.0
Hank Kuhlmann,Green Bay Packers,1972,Assistant,,Positional,10.0,4.0,0.0
Bart Starr,Green Bay Packers,1972,Quarterbacks,Offense,Positional,10.0,4.0,0.0
Ed Khayat,Philadelphia Eagles,1972,Head Coach,Head,Head,2.0,11.0,1.0
John Rauch,Philadelphia Eagles,1972,Quarterbacks,Offense,Positional,2.0,11.0,1.0
Bob Hollway,St. Louis Cardinals,1972,Head Coach,Head,Head,4.0,9.0,1.0
Bill Austin,St. Louis Cardinals,1972,Offensive Line,Offense,Positional,4.0,9.0,1.0
Ed Hughes,St. Louis Cardinals,1972,Offensive Assistant,Offense,Positional,4.0,9.0,1.0
Alex Webster,New York Giants,1972,Head Coach,Head,Head,8.0,6.0,0.0
George Allen,Washington Redskins,1972,Head Coach,Head,Head,11.0,3.0,0.0
Marv Levy,Washington Redskins,1972,Special Teams,Special Teams,Coordinator,11.0,3.0,0.0
Mike McCormack,Washington Redskins,1972,Assistant Coach,,Positional,11.0,3.0,0.0
Charlie Waller,Washington Redskins,1972,Offensive Backfield,Offense,Positional,11.0,3.0,0.0
Charley Winner,Washington Redskins,1972,Defensive Coach,Defense,,11.0,3.0,0.0
Tom Landry,Dallas Cowboys,1972,Head Coach,Head,Head,10.0,4.0,0.0
Sid Gillman,Dallas Cowboys,1972,Quality Control,,Positional,10.0,4.0,0.0
Gene Stallings,Dallas Cowboys,1972,Defensive Backs,Defense,Positional,10.0,4.0,0.0
Harland Svare,San Diego Chargers,1972,Head Coach,Head,Head,4.0,9.0,1.0
John Ralston,Denver Broncos,1972,Head Coach,Head,Head,5.0,9.0,0.0
Dick Coury,Denver Broncos,1972,Wide Receivers,Offense,Positional,5.0,9.0,0.0
Richard Urich,Denver Broncos,1972,Defensive Line,Defense,Positional,5.0,9.0,0.0
Hank Stram,Kansas City Chiefs,1972,Head Coach,Head,Head,8.0,6.0,0.0
Tom Bettis,Kansas City Chiefs,1972,Defensive Backs,Defense,Positional,8.0,6.0,0.0
Walt Corey,Kansas City Chiefs,1972,Linebackers,Defense,Positional,8.0,6.0,0.0
John Madden,Oakland Raiders,1972,Head Coach,Head,Head,10.0,3.0,1.0
Tom Flores,Oakland Raiders,1972,Receivers,Offense,Positional,10.0,3.0,1.0
Ray Malavasi,Oakland Raiders,1972,Linebackers,Defense,Positional,10.0,3.0,1.0
Bob Zeman,Oakland Raiders,1972,Defensive Backs,Defense,Positional,10.0,3.0,1.0
Bill Peterson,Houston Oilers,1972,Head Coach,Head,Head,1.0,13.0,0.0
Dan Henning,Houston Oilers,1972,Quarterbacks/Receivers Coach,Offense,Positional,1.0,13.0,0.0
Paul Brown,Cincinnati Bengals,1972,Head Coach,Head,Head,8.0,6.0,0.0
Bill Johnson,Cincinnati Bengals,1972,Offensive Line,Offense,Positional,8.0,6.0,0.0
Bill Walsh,Cincinnati Bengals,1972,Receivers/Quarterbacks,Offense,Positional,8.0,6.0,0.0
Nick Skorich,Cleveland Browns,1972,Head Coach,Head,Head,10.0,4.0,0.0
Richie McCabe,Cleveland Browns,1972,Defensive Backs/Secondary - ,Head,Head,10.0,4.0,0.0
Chuck Noll,Pittsburgh Steelers,1972,Head Coach,Head,Head,11.0,3.0,0.0
Phil Bengtson,New England Patriots,1972,Head Coach/Interim Head Coach,Head,Head,3.0,11.0,0.0
John Mazur,New England Patriots,1972,Head Coach,Head,Head,3.0,11.0,0.0
Sam Rutigliano,New England Patriots,1972,Offensive Backs/Receivers/Wide Receivers Coach,Offense,Positional,3.0,11.0,0.0
Lou Saban,Buffalo Bills,1972,Head Coach,Head,Head,4.0,9.0,1.0
Jim Dooley,Buffalo Bills,1972,Linebackers,Defense,Positional,4.0,9.0,1.0
Don McCafferty,Baltimore Colts,1972,Head Coach,Head,Head,5.0,9.0,0.0
John Sandusky,Baltimore Colts,1972,Head Coach/Interim Head Coach - ,Head,Head,5.0,9.0,0.0
